startTime,endTime,cost
2013-08-12 00:00:00,2013-08-12 02:21:07,402.62
2013-08-12 02:21:07,2013-08-12 04:42:14,368.93
2013-08-12 04:42:14,2013-08-12 07:03:21,403.55
2013-08-12 07:03:21,2013-08-12 09:24:28,356.8
2013-08-12 09:24:28,2013-08-12 11:45:36,861.57
2013-08-12 11:45:36,2013-08-12 14:06:43,863.11
2013-08-12 14:06:43,2013-08-12 16:27:50,873.89
2013-08-12 16:27:50,2013-08-12 18:48:57,729.34
2013-08-12 18:48:57,2013-08-12 21:10:04,933.99
2013-08-12 21:10:04,2013-08-12 23:31:12,371.95
2013-08-12 23:31:12,2013-08-13 01:52:19,400.11
2013-08-13 01:52:19,2013-08-13 04:13:26,413.13
2013-08-13 04:13:26,2013-08-13 06:34:33,427.62
2013-08-13 06:34:33,2013-08-13 08:55:40,366.64
2013-08-13 08:55:40,2013-08-13 11:16:48,840.7
2013-08-13 11:16:48,2013-08-13 13:37:55,828.87
2013-08-13 13:37:55,2013-08-13 15:59:02,729.36
2013-08-13 15:59:02,2013-08-13 18:20:09,766.77
2013-08-13 18:20:09,2013-08-13 20:41:16,912.86
2013-08-13 20:41:16,2013-08-13 23:02:24,423.26
2013-08-13 23:02:24,2013-08-14 01:23:31,375.68
2013-08-14 01:23:31,2013-08-14 03:44:38,343.34
2013-08-14 03:44:38,2013-08-14 06:05:45,342.9
2013-08-14 06:05:45,2013-08-14 08:26:52,433.84
2013-08-14 08:26:52,2013-08-14 10:48:00,783.41
2013-08-14 10:48:00,2013-08-14 13:09:07,812.92
2013-08-14 13:09:07,2013-08-14 15:30:14,736.25
2013-08-14 15:30:14,2013-08-14 17:51:21,716.93
2013-08-14 17:51:21,2013-08-14 20:12:28,906.32
2013-08-14 20:12:28,2013-08-14 22:33:36,344.36
2013-08-14 22:33:36,2013-08-15 00:54:43,380.45
2013-08-15 00:54:43,2013-08-15 03:15:50,356.56
2013-08-15 03:15:50,2013-08-15 05:36:57,360.91
2013-08-15 05:36:57,2013-08-15 07:58:04,400.13
2013-08-15 07:58:04,2013-08-15 10:19:12,358.37
2013-08-15 10:19:12,2013-08-15 12:40:19,900.86
2013-08-15 12:40:19,2013-08-15 15:01:26,851.27
2013-08-15 15:01:26,2013-08-15 17:22:33,747.19
2013-08-15 17:22:33,2013-08-15 19:43:40,927.88
2013-08-15 19:43:40,2013-08-15 22:04:48,416.31
2013-08-15 22:04:48,2013-08-16 00:25:55,395.06
2013-08-16 00:25:55,2013-08-16 02:47:02,356.57
2013-08-16 02:47:02,2013-08-16 05:08:09,439.94
2013-08-16 05:08:09,2013-08-16 07:29:16,422.07
2013-08-16 07:29:16,2013-08-16 09:50:24,415.3
2013-08-16 09:50:24,2013-08-16 12:11:31,771.6
2013-08-16 12:11:31,2013-08-16 14:32:38,805.7
2013-08-16 14:32:38,2013-08-16 16:53:45,742.84
2013-08-16 16:53:45,2013-08-16 19:14:52,889.37
2013-08-16 19:14:52,2013-08-16 21:36:00,429.7
2013-08-16 21:36:00,2013-08-16 23:57:07,389.73
2013-08-16 23:57:07,2013-08-17 02:18:14,409.79
2013-08-17 02:18:14,2013-08-17 04:39:21,406.36
2013-08-17 04:39:21,2013-08-17 07:00:28,424.27
2013-08-17 07:00:28,2013-08-17 09:21:36,340.07
2013-08-17 09:21:36,2013-08-17 11:42:43,792.27
2013-08-17 11:42:43,2013-08-17 14:03:50,769.87
2013-08-17 14:03:50,2013-08-17 16:24:57,813.97
2013-08-17 16:24:57,2013-08-17 18:46:04,881.51
2013-08-17 18:46:04,2013-08-17 21:07:12,850.03
2013-08-17 21:07:12,2013-08-17 23:28:19,377.28
2013-08-17 23:28:19,2013-08-18 01:49:26,396.67
2013-08-18 01:49:26,2013-08-18 04:10:33,388.38
2013-08-18 04:10:33,2013-08-18 06:31:40,337.55
2013-08-18 06:31:40,2013-08-18 08:52:48,367.09
2013-08-18 08:52:48,2013-08-18 11:13:55,725.25
2013-08-18 11:13:55,2013-08-18 13:35:02,750.99
2013-08-18 13:35:02,2013-08-18 15:56:09,799.8
2013-08-18 15:56:09,2013-08-18 18:17:16,774.88
2013-08-18 18:17:16,2013-08-18 20:38:24,759.78
2013-08-18 20:38:24,2013-08-18 22:59:31,390.97
2013-08-18 22:59:31,2013-08-19 01:20:38,363.47
2013-08-19 01:20:38,2013-08-19 03:41:45,430.0
2013-08-19 03:41:45,2013-08-19 06:02:52,339.18
2013-08-19 06:02:52,2013-08-19 08:24:00,435.48
2013-08-19 08:24:00,2013-08-19 10:45:07,787.04
2013-08-19 10:45:07,2013-08-19 13:06:14,798.06
2013-08-19 13:06:14,2013-08-19 15:27:21,927.59
2013-08-19 15:27:21,2013-08-19 17:48:28,894.34
2013-08-19 17:48:28,2013-08-19 20:09:36,815.29
2013-08-19 20:09:36,2013-08-19 22:30:43,335.25
2013-08-19 22:30:43,2013-08-20 00:51:50,350.22
2013-08-20 00:51:50,2013-08-20 03:12:57,433.12
2013-08-20 03:12:57,2013-08-20 05:34:04,375.3
2013-08-20 05:34:04,2013-08-20 07:55:12,404.63
2013-08-20 07:55:12,2013-08-20 10:16:19,343.36
2013-08-20 10:16:19,2013-08-20 12:37:26,721.66
2013-08-20 12:37:26,2013-08-20 14:58:33,862.44
2013-08-20 14:58:33,2013-08-20 17:19:40,777.64
2013-08-20 17:19:40,2013-08-20 19:40:48,741.22
2013-08-20 19:40:48,2013-08-20 22:01:55,433.83
2013-08-20 22:01:55,2013-08-21 00:23:02,431.2
2013-08-21 00:23:02,2013-08-21 02:44:09,341.62
2013-08-21 02:44:09,2013-08-21 05:05:16,426.78
2013-08-21 05:05:16,2013-08-21 07:26:24,408.5
2013-08-21 07:26:24,2013-08-21 09:47:31,345.39
2013-08-21 09:47:31,2013-08-21 12:08:38,800.01
2013-08-21 12:08:38,2013-08-21 14:29:45,814.22
2013-08-21 14:29:45,2013-08-21 16:50:52,930.59
2013-08-21 16:50:52,2013-08-21 19:12:00,812.79
2013-08-21 19:12:00,2013-08-21 21:33:07,333.09
2013-08-21 21:33:07,2013-08-21 23:54:14,390.69
2013-08-21 23:54:14,2013-08-22 02:15:21,391.89
2013-08-22 02:15:21,2013-08-22 04:36:28,426.78
2013-08-22 04:36:28,2013-08-22 06:57:36,420.08
2013-08-22 06:57:36,2013-08-22 09:18:43,367.69
2013-08-22 09:18:43,2013-08-22 11:39:50,824.44
2013-08-22 11:39:50,2013-08-22 14:00:57,797.6
2013-08-22 14:00:57,2013-08-22 16:22:04,770.94
2013-08-22 16:22:04,2013-08-22 18:43:12,815.18
2013-08-22 18:43:12,2013-08-22 21:04:19,931.34
2013-08-22 21:04:19,2013-08-22 23:25:26,343.87
2013-08-22 23:25:26,2013-08-23 01:46:33,367.96
2013-08-23 01:46:33,2013-08-23 04:07:40,335.0
2013-08-23 04:07:40,2013-08-23 06:28:48,330.29
2013-08-23 06:28:48,2013-08-23 08:49:55,350.9
2013-08-23 08:49:55,2013-08-23 11:11:02,816.96
2013-08-23 11:11:02,2013-08-23 13:32:09,923.42
2013-08-23 13:32:09,2013-08-23 15:53:16,931.75
2013-08-23 15:53:16,2013-08-23 18:14:24,760.21
2013-08-23 18:14:24,2013-08-23 20:35:31,907.35
2013-08-23 20:35:31,2013-08-23 22:56:38,438.34
2013-08-23 22:56:38,2013-08-24 01:17:45,351.69
2013-08-24 01:17:45,2013-08-24 03:38:52,390.18
2013-08-24 03:38:52,2013-08-24 06:00:00,337.15
2013-08-24 06:00:00,2013-08-24 08:21:07,377.12
2013-08-24 08:21:07,2013-08-24 10:42:14,879.94
2013-08-24 10:42:14,2013-08-24 13:03:21,902.99
2013-08-24 13:03:21,2013-08-24 15:24:28,906.63
2013-08-24 15:24:28,2013-08-24 17:45:36,917.61
2013-08-24 17:45:36,2013-08-24 20:06:43,827.77
2013-08-24 20:06:43,2013-08-24 22:27:50,332.53
2013-08-24 22:27:50,2013-08-25 00:48:57,394.08
2013-08-25 00:48:57,2013-08-25 03:10:04,384.27
2013-08-25 03:10:04,2013-08-25 05:31:12,411.23
2013-08-25 05:31:12,2013-08-25 07:52:19,401.49
2013-08-25 07:52:19,2013-08-25 10:13:26,417.99
2013-08-25 10:13:26,2013-08-25 12:34:33,767.13
2013-08-25 12:34:33,2013-08-25 14:55:40,767.3
2013-08-25 14:55:40,2013-08-25 17:16:48,882.31
2013-08-25 17:16:48,2013-08-25 19:37:55,776.14
2013-08-25 19:37:55,2013-08-25 21:59:02,412.43
2013-08-25 21:59:02,2013-08-26 00:20:09,434.53
2013-08-26 00:20:09,2013-08-26 02:41:16,401.23
2013-08-26 02:41:16,2013-08-26 05:02:24,399.17
2013-08-26 05:02:24,2013-08-26 07:23:31,410.65
2013-08-26 07:23:31,2013-08-26 09:44:38,434.01
2013-08-26 09:44:38,2013-08-26 12:05:45,933.57
2013-08-26 12:05:45,2013-08-26 14:26:52,893.82
2013-08-26 14:26:52,2013-08-26 16:48:00,817.91
2013-08-26 16:48:00,2013-08-26 19:09:07,809.67
2013-08-26 19:09:07,2013-08-26 21:30:14,338.85
2013-08-26 21:30:14,2013-08-26 23:51:21,413.22
2013-08-26 23:51:21,2013-08-27 02:12:28,402.22
2013-08-27 02:12:28,2013-08-27 04:33:36,350.69
2013-08-27 04:33:36,2013-08-27 06:54:43,337.82
2013-08-27 06:54:43,2013-08-27 09:15:50,363.83
2013-08-27 09:15:50,2013-08-27 11:36:57,911.86
2013-08-27 11:36:57,2013-08-27 13:58:04,779.76
2013-08-27 13:58:04,2013-08-27 16:19:12,890.29
2013-08-27 16:19:12,2013-08-27 18:40:19,914.36
2013-08-27 18:40:19,2013-08-27 21:01:26,894.81
2013-08-27 21:01:26,2013-08-27 23:22:33,438.91
2013-08-27 23:22:33,2013-08-28 01:43:40,411.39
2013-08-28 01:43:40,2013-08-28 04:04:48,345.82
2013-08-28 04:04:48,2013-08-28 06:25:55,393.45
2013-08-28 06:25:55,2013-08-28 08:47:02,331.33
2013-08-28 08:47:02,2013-08-28 11:08:09,931.17
2013-08-28 11:08:09,2013-08-28 13:29:16,916.55
2013-08-28 13:29:16,2013-08-28 15:50:24,924.16
2013-08-28 15:50:24,2013-08-28 18:11:31,777.25
2013-08-28 18:11:31,2013-08-28 20:32:38,740.09
2013-08-28 20:32:38,2013-08-28 22:53:45,434.54
2013-08-28 22:53:45,2013-08-29 01:14:52,438.12
2013-08-29 01:14:52,2013-08-29 03:36:00,408.35
2013-08-29 03:36:00,2013-08-29 05:57:07,423.0
2013-08-29 05:57:07,2013-08-29 08:18:14,352.21
2013-08-29 08:18:14,2013-08-29 10:39:21,918.41
2013-08-29 10:39:21,2013-08-29 13:00:28,746.36
2013-08-29 13:00:28,2013-08-29 15:21:36,916.72
2013-08-29 15:21:36,2013-08-29 17:42:43,851.71
2013-08-29 17:42:43,2013-08-29 20:03:50,803.38
2013-08-29 20:03:50,2013-08-29 22:24:57,409.96
2013-08-29 22:24:57,2013-08-30 00:46:04,369.76
2013-08-30 00:46:04,2013-08-30 03:07:12,390.42
2013-08-30 03:07:12,2013-08-30 05:28:19,360.47
2013-08-30 05:28:19,2013-08-30 07:49:26,378.08
2013-08-30 07:49:26,2013-08-30 10:10:33,408.16
2013-08-30 10:10:33,2013-08-30 12:31:40,759.97
2013-08-30 12:31:40,2013-08-30 14:52:48,887.68
2013-08-30 14:52:48,2013-08-30 17:13:55,926.6
2013-08-30 17:13:55,2013-08-30 19:35:02,767.31
2013-08-30 19:35:02,2013-08-30 21:56:09,401.95
2013-08-30 21:56:09,2013-08-31 00:17:16,387.28
2013-08-31 00:17:16,2013-08-31 02:38:24,381.48
2013-08-31 02:38:24,2013-08-31 04:59:31,342.76
2013-08-31 04:59:31,2013-08-31 07:20:38,395.53
2013-08-31 07:20:38,2013-08-31 09:41:45,414.27
2013-08-31 09:41:45,2013-08-31 12:02:52,933.46
2013-08-31 12:02:52,2013-08-31 14:24:00,859.57
2013-08-31 14:24:00,2013-08-31 16:45:07,911.77
2013-08-31 16:45:07,2013-08-31 19:06:14,892.43
2013-08-31 19:06:14,2013-08-31 21:27:21,331.48
2013-08-31 21:27:21,2013-08-31 23:48:28,367.12
2013-08-31 23:48:28,2013-09-01 02:09:36,360.26
2013-09-01 02:09:36,2013-09-01 04:30:43,382.77
2013-09-01 04:30:43,2013-09-01 06:51:50,391.64
2013-09-01 06:51:50,2013-09-01 09:12:57,371.8
