startTime,endTime,cost
2013-08-12 00:00:00,2013-08-12 02:21:07,514.73
2013-08-12 02:21:07,2013-08-12 04:42:14,547.2
2013-08-12 04:42:14,2013-08-12 07:03:21,561.75
2013-08-12 07:03:21,2013-08-12 09:24:28,604.02
2013-08-12 09:24:28,2013-08-12 11:45:36,576.02
2013-08-12 11:45:36,2013-08-12 14:06:43,556.51
2013-08-12 14:06:43,2013-08-12 16:27:50,561.91
2013-08-12 16:27:50,2013-08-12 18:48:57,578.46
2013-08-12 18:48:57,2013-08-12 21:10:04,564.57
2013-08-12 21:10:04,2013-08-12 23:31:12,601.25
2013-08-12 23:31:12,2013-08-13 01:52:19,517.77
2013-08-13 01:52:19,2013-08-13 04:13:26,531.24
2013-08-13 04:13:26,2013-08-13 06:34:33,549.86
2013-08-13 06:34:33,2013-08-13 08:55:40,573.93
2013-08-13 08:55:40,2013-08-13 11:16:48,524.0
2013-08-13 11:16:48,2013-08-13 13:37:55,583.34
2013-08-13 13:37:55,2013-08-13 15:59:02,529.23
2013-08-13 15:59:02,2013-08-13 18:20:09,573.46
2013-08-13 18:20:09,2013-08-13 20:41:16,516.26
2013-08-13 20:41:16,2013-08-13 23:02:24,562.6
2013-08-13 23:02:24,2013-08-14 01:23:31,603.93
2013-08-14 01:23:31,2013-08-14 03:44:38,523.64
2013-08-14 03:44:38,2013-08-14 06:05:45,561.76
2013-08-14 06:05:45,2013-08-14 08:26:52,521.63
2013-08-14 08:26:52,2013-08-14 10:48:00,510.04
2013-08-14 10:48:00,2013-08-14 13:09:07,564.21
2013-08-14 13:09:07,2013-08-14 15:30:14,548.5
2013-08-14 15:30:14,2013-08-14 17:51:21,534.1
2013-08-14 17:51:21,2013-08-14 20:12:28,532.49
2013-08-14 20:12:28,2013-08-14 22:33:36,528.61
2013-08-14 22:33:36,2013-08-15 00:54:43,535.35
2013-08-15 00:54:43,2013-08-15 03:15:50,595.33
2013-08-15 03:15:50,2013-08-15 05:36:57,534.99
2013-08-15 05:36:57,2013-08-15 07:58:04,530.57
2013-08-15 07:58:04,2013-08-15 10:19:12,571.4
