startTime,endTime,cost
2013-08-12 00:00:00,2013-08-12 02:21:07,349.41
2013-08-12 02:21:07,2013-08-12 04:42:14,485.59
2013-08-12 04:42:14,2013-08-12 07:03:21,403.62
2013-08-12 07:03:21,2013-08-12 09:24:28,434.41
2013-08-12 09:24:28,2013-08-12 11:45:36,446.23
2013-08-12 11:45:36,2013-08-12 14:06:43,434.75
2013-08-12 14:06:43,2013-08-12 16:27:50,560.26
2013-08-12 16:27:50,2013-08-12 18:48:57,408.32
2013-08-12 18:48:57,2013-08-12 21:10:04,577.62
2013-08-12 21:10:04,2013-08-12 23:31:12,378.85
2013-08-12 23:31:12,2013-08-13 01:52:19,556.25
2013-08-13 01:52:19,2013-08-13 04:13:26,471.1
2013-08-13 04:13:26,2013-08-13 06:34:33,448.47
2013-08-13 06:34:33,2013-08-13 08:55:40,491.88
2013-08-13 08:55:40,2013-08-13 11:16:48,510.95
2013-08-13 11:16:48,2013-08-13 13:37:55,327.68
2013-08-13 13:37:55,2013-08-13 15:59:02,371.2
2013-08-13 15:59:02,2013-08-13 18:20:09,563.46
2013-08-13 18:20:09,2013-08-13 20:41:16,505.56
2013-08-13 20:41:16,2013-08-13 23:02:24,469.25
2013-08-13 23:02:24,2013-08-14 01:23:31,434.77
2013-08-14 01:23:31,2013-08-14 03:44:38,274.64
2013-08-14 03:44:38,2013-08-14 06:05:45,577.04
2013-08-14 06:05:45,2013-08-14 08:26:52,250.78
2013-08-14 08:26:52,2013-08-14 10:48:00,325.56
2013-08-14 10:48:00,2013-08-14 13:09:07,248.86
2013-08-14 13:09:07,2013-08-14 15:30:14,314.26
2013-08-14 15:30:14,2013-08-14 17:51:21,554.26
2013-08-14 17:51:21,2013-08-14 20:12:28,369.81
2013-08-14 20:12:28,2013-08-14 22:33:36,276.25
2013-08-14 22:33:36,2013-08-15 00:54:43,416.61
2013-08-15 00:54:43,2013-08-15 03:15:50,508.7
2013-08-15 03:15:50,2013-08-15 05:36:57,381.22
2013-08-15 05:36:57,2013-08-15 07:58:04,521.4
2013-08-15 07:58:04,2013-08-15 10:19:12,272.13
2013-08-15 10:19:12,2013-08-15 12:40:19,326.73
2013-08-15 12:40:19,2013-08-15 15:01:26,506.53
2013-08-15 15:01:26,2013-08-15 17:22:33,363.07
2013-08-15 17:22:33,2013-08-15 19:43:40,316.2
2013-08-15 19:43:40,2013-08-15 22:04:48,269.37
2013-08-15 22:04:48,2013-08-16 00:25:55,478.47
2013-08-16 00:25:55,2013-08-16 02:47:02,536.24
2013-08-16 02:47:02,2013-08-16 05:08:09,516.72
2013-08-16 05:08:09,2013-08-16 07:29:16,252.32
2013-08-16 07:29:16,2013-08-16 09:50:24,296.06
2013-08-16 09:50:24,2013-08-16 12:11:31,518.51
2013-08-16 12:11:31,2013-08-16 14:32:38,316.51
2013-08-16 14:32:38,2013-08-16 16:53:45,399.8
2013-08-16 16:53:45,2013-08-16 19:14:52,321.25
2013-08-16 19:14:52,2013-08-16 21:36:00,309.68
2013-08-16 21:36:00,2013-08-16 23:57:07,308.47
2013-08-16 23:57:07,2013-08-17 02:18:14,411.67
2013-08-17 02:18:14,2013-08-17 04:39:21,503.8
2013-08-17 04:39:21,2013-08-17 07:00:28,480.71
2013-08-17 07:00:28,2013-08-17 09:21:36,441.23
2013-08-17 09:21:36,2013-08-17 11:42:43,464.28
2013-08-17 11:42:43,2013-08-17 14:03:50,455.72
2013-08-17 14:03:50,2013-08-17 16:24:57,443.04
2013-08-17 16:24:57,2013-08-17 18:46:04,346.15
2013-08-17 18:46:04,2013-08-17 21:07:12,477.37
2013-08-17 21:07:12,2013-08-17 23:28:19,357.29
2013-08-17 23:28:19,2013-08-18 01:49:26,452.71
2013-08-18 01:49:26,2013-08-18 04:10:33,248.89
2013-08-18 04:10:33,2013-08-18 06:31:40,411.46
2013-08-18 06:31:40,2013-08-18 08:52:48,279.15
2013-08-18 08:52:48,2013-08-18 11:13:55,443.5
2013-08-18 11:13:55,2013-08-18 13:35:02,414.77
2013-08-18 13:35:02,2013-08-18 15:56:09,343.92
2013-08-18 15:56:09,2013-08-18 18:17:16,493.68
2013-08-18 18:17:16,2013-08-18 20:38:24,509.98
2013-08-18 20:38:24,2013-08-18 22:59:31,424.99
2013-08-18 22:59:31,2013-08-19 01:20:38,438.94
2013-08-19 01:20:38,2013-08-19 03:41:45,550.86
2013-08-19 03:41:45,2013-08-19 06:02:52,467.48
2013-08-19 06:02:52,2013-08-19 08:24:00,340.33
2013-08-19 08:24:00,2013-08-19 10:45:07,580.06
2013-08-19 10:45:07,2013-08-19 13:06:14,563.01
2013-08-19 13:06:14,2013-08-19 15:27:21,316.63
2013-08-19 15:27:21,2013-08-19 17:48:28,263.33
2013-08-19 17:48:28,2013-08-19 20:09:36,379.47
2013-08-19 20:09:36,2013-08-19 22:30:43,444.78
2013-08-19 22:30:43,2013-08-20 00:51:50,389.53
2013-08-20 00:51:50,2013-08-20 03:12:57,520.37
2013-08-20 03:12:57,2013-08-20 05:34:04,416.89
2013-08-20 05:34:04,2013-08-20 07:55:12,383.13
2013-08-20 07:55:12,2013-08-20 10:16:19,449.37
2013-08-20 10:16:19,2013-08-20 12:37:26,551.63
2013-08-20 12:37:26,2013-08-20 14:58:33,580.24
2013-08-20 14:58:33,2013-08-20 17:19:40,346.52
2013-08-20 17:19:40,2013-08-20 19:40:48,391.83
2013-08-20 19:40:48,2013-08-20 22:01:55,352.97
2013-08-20 22:01:55,2013-08-21 00:23:02,540.62
2013-08-21 00:23:02,2013-08-21 02:44:09,448.07
2013-08-21 02:44:09,2013-08-21 05:05:16,440.03
2013-08-21 05:05:16,2013-08-21 07:26:24,436.29
2013-08-21 07:26:24,2013-08-21 09:47:31,295.84
2013-08-21 09:47:31,2013-08-21 12:08:38,291.85
2013-08-21 12:08:38,2013-08-21 14:29:45,472.92
2013-08-21 14:29:45,2013-08-21 16:50:52,369.95
2013-08-21 16:50:52,2013-08-21 19:12:00,404.25
2013-08-21 19:12:00,2013-08-21 21:33:07,312.84
2013-08-21 21:33:07,2013-08-21 23:54:14,555.75
2013-08-21 23:54:14,2013-08-22 02:15:21,309.03
2013-08-22 02:15:21,2013-08-22 04:36:28,542.76
2013-08-22 04:36:28,2013-08-22 06:57:36,577.92
2013-08-22 06:57:36,2013-08-22 09:18:43,384.63
2013-08-22 09:18:43,2013-08-22 11:39:50,555.12
2013-08-22 11:39:50,2013-08-22 14:00:57,299.78
2013-08-22 14:00:57,2013-08-22 16:22:04,360.92
2013-08-22 16:22:04,2013-08-22 18:43:12,389.1
2013-08-22 18:43:12,2013-08-22 21:04:19,470.33
2013-08-22 21:04:19,2013-08-22 23:25:26,551.41
2013-08-22 23:25:26,2013-08-23 01:46:33,330.23
2013-08-23 01:46:33,2013-08-23 04:07:40,287.82
2013-08-23 04:07:40,2013-08-23 06:28:48,400.62
2013-08-23 06:28:48,2013-08-23 08:49:55,250.61
2013-08-23 08:49:55,2013-08-23 11:11:02,417.8
2013-08-23 11:11:02,2013-08-23 13:32:09,403.34
2013-08-23 13:32:09,2013-08-23 15:53:16,353.41
2013-08-23 15:53:16,2013-08-23 18:14:24,559.96
2013-08-23 18:14:24,2013-08-23 20:35:31,571.36
2013-08-23 20:35:31,2013-08-23 22:56:38,288.63
2013-08-23 22:56:38,2013-08-24 01:17:45,408.09
2013-08-24 01:17:45,2013-08-24 03:38:52,488.09
2013-08-24 03:38:52,2013-08-24 06:00:00,315.05
2013-08-24 06:00:00,2013-08-24 08:21:07,390.79
2013-08-24 08:21:07,2013-08-24 10:42:14,392.91
2013-08-24 10:42:14,2013-08-24 13:03:21,366.39
2013-08-24 13:03:21,2013-08-24 15:24:28,328.54
2013-08-24 15:24:28,2013-08-24 17:45:36,346.45
2013-08-24 17:45:36,2013-08-24 20:06:43,518.42
2013-08-24 20:06:43,2013-08-24 22:27:50,284.1
2013-08-24 22:27:50,2013-08-25 00:48:57,290.23
2013-08-25 00:48:57,2013-08-25 03:10:04,370.46
2013-08-25 03:10:04,2013-08-25 05:31:12,311.9
2013-08-25 05:31:12,2013-08-25 07:52:19,558.4
2013-08-25 07:52:19,2013-08-25 10:13:26,572.8
2013-08-25 10:13:26,2013-08-25 12:34:33,429.19
2013-08-25 12:34:33,2013-08-25 14:55:40,405.59
2013-08-25 14:55:40,2013-08-25 17:16:48,375.69
2013-08-25 17:16:48,2013-08-25 19:37:55,512.71
2013-08-25 19:37:55,2013-08-25 21:59:02,424.54
2013-08-25 21:59:02,2013-08-26 00:20:09,510.0
2013-08-26 00:20:09,2013-08-26 02:41:16,559.85
2013-08-26 02:41:16,2013-08-26 05:02:24,569.92
2013-08-26 05:02:24,2013-08-26 07:23:31,341.46
2013-08-26 07:23:31,2013-08-26 09:44:38,261.12
2013-08-26 09:44:38,2013-08-26 12:05:45,364.4
2013-08-26 12:05:45,2013-08-26 14:26:52,341.17
2013-08-26 14:26:52,2013-08-26 16:48:00,526.89
2013-08-26 16:48:00,2013-08-26 19:09:07,333.28
2013-08-26 19:09:07,2013-08-26 21:30:14,473.49
2013-08-26 21:30:14,2013-08-26 23:51:21,571.67
2013-08-26 23:51:21,2013-08-27 02:12:28,550.83
2013-08-27 02:12:28,2013-08-27 04:33:36,576.43
2013-08-27 04:33:36,2013-08-27 06:54:43,390.26
2013-08-27 06:54:43,2013-08-27 09:15:50,256.5
2013-08-27 09:15:50,2013-08-27 11:36:57,473.29
2013-08-27 11:36:57,2013-08-27 13:58:04,249.86
2013-08-27 13:58:04,2013-08-27 16:19:12,492.29
2013-08-27 16:19:12,2013-08-27 18:40:19,362.53
2013-08-27 18:40:19,2013-08-27 21:01:26,473.8
2013-08-27 21:01:26,2013-08-27 23:22:33,468.3
2013-08-27 23:22:33,2013-08-28 01:43:40,466.27
2013-08-28 01:43:40,2013-08-28 04:04:48,257.65
2013-08-28 04:04:48,2013-08-28 06:25:55,419.76
2013-08-28 06:25:55,2013-08-28 08:47:02,300.82
2013-08-28 08:47:02,2013-08-28 11:08:09,509.72
2013-08-28 11:08:09,2013-08-28 13:29:16,462.82
