scheduler,topology,total_tasks,completed_tasks,completion_rate,avg_completion_time,median_completion_time,std_completion_time,pattern
CostEfficient,large,2508672,147,0.005859673962957294,5014162.265306123,5169590.0,1876935.966068752,diurnal
CostEfficient,medium,4423296,147,0.0033233136556992796,8815958.653061224,10342556.0,4095080.1890275036,diurnal
CostEfficient,small,12362484,147,0.0011890814176180127,24596183.530612245,28438775.0,13821267.849807248,diurnal
PredictiveCost,large,2974245,147,0.0049424307681445205,5964223.897959184,6860231.0,2377086.7296503005,diurnal
PredictiveCost,medium,5412360,147,0.0027160055872114935,10781621.75510204,12928175.0,5256712.814407873,diurnal
PredictiveCost,small,15174855,147,0.0009687077734844914,30177264.673469387,33614998.0,17166040.74163798,diurnal
CostEfficient,large,2508681,147,0.00585965294112723,5014190.918367347,5169590.0,1877013.9450355046,spike
CostEfficient,medium,4423296,147,0.0033233136556992796,8815958.653061224,10342556.0,4095080.1890275036,spike
CostEfficient,small,12362484,147,0.0011890814176180127,24596183.530612245,28438775.0,13821267.849807248,spike
PredictiveCost,large,3259266,147,0.004510217944776523,6545848.897959184,7753483.0,2793764.276275753,spike
PredictiveCost,medium,5412369,147,0.002716001070880422,10781639.693877552,12928175.0,5256737.8185960045,spike
PredictiveCost,small,15174855,147,0.0009687077734844914,30177264.673469387,33614998.0,17166040.74163798,spike
CostEfficient,large,2508681,147,0.00585965294112723,5014190.918367347,5169590.0,1877013.9450355046,stable
CostEfficient,medium,4423296,147,0.0033233136556992796,8815958.653061224,10342556.0,4095080.1890275036,stable
CostEfficient,small,12362484,147,0.0011890814176180127,24596183.530612245,28438775.0,13821267.849807248,stable
PredictiveCost,large,3181521,147,0.004620431548306611,6387207.551020408,7753483.0,2643573.2364070485,stable
PredictiveCost,medium,5412369,147,0.002716001070880422,10781639.693877552,12928175.0,5256737.8185960045,stable
PredictiveCost,small,15174855,147,0.0009687077734844914,30177264.673469387,33614998.0,17166040.74163798,stable
CostEfficient,large,2457159,147,0.005982518835777416,4961639.224489796,5169590.0,1834793.3786793216,volatile
CostEfficient,medium,4423266,147,0.0033233361954718528,8815894.530612245,10342556.0,4095005.4116581473,volatile
CostEfficient,small,12362484,147,0.0011890814176180127,24596183.530612245,28438775.0,13821267.849807248,volatile
PredictiveCost,large,3259305,147,0.004510163976676009,6545924.102040816,7753483.0,2793866.4185550464,volatile
PredictiveCost,medium,5412369,147,0.002716001070880422,10781639.693877552,12928175.0,5256737.8185960045,volatile
PredictiveCost,small,15174855,147,0.0009687077734844914,30177264.673469387,33614998.0,17166040.74163798,volatile
