scheduler,topology,avg_cost,avg_utilization,cost_efficiency,std_cost,std_utilization,pattern
CostEfficient,large,471.03802,0.11040889,0.00023439484,190.53943,0.19369023,diurnal
CostEfficient,medium,402.27188,0.11043375,0.00027452514,136.06146,0.19128424,diurnal
CostEfficient,small,303.17896,0.118766256,0.00039173648,75.81785,0.19577119,diurnal
PredictiveCost,large,445.5863,0.082821056,0.00018586984,172.54213,0.1731209,diurnal
PredictiveCost,medium,396.13535,0.09462665,0.00023887455,128.57726,0.1804694,diurnal
PredictiveCost,small,299.92514,0.096166,0.00032063335,68.55311,0.18150851,diurnal
CostEfficient,large,525.6558,0.11040888,0.00021004025,227.70207,0.19290295,spike
CostEfficient,medium,492.24057,0.11043373,0.0002243491,173.21562,0.19128424,spike
CostEfficient,small,407.11127,0.118766256,0.00029172923,83.89976,0.19577119,spike
PredictiveCost,large,510.45468,0.082763694,0.0001621372,199.89241,0.17306367,spike
PredictiveCost,medium,487.31702,0.09462667,0.00019417888,161.85306,0.18047127,spike
PredictiveCost,small,405.12253,0.096166,0.0002373751,75.60753,0.18150851,spike
CostEfficient,large,517.2797,0.11040888,0.00021344135,68.30364,0.19291414,stable
CostEfficient,medium,502.0278,0.11043373,0.00021997532,92.47048,0.19128424,stable
CostEfficient,small,594.0221,0.118766256,0.00019993575,11.965526,0.19577119,stable
PredictiveCost,large,514.6266,0.082773305,0.00016084149,69.03075,0.17303446,stable
PredictiveCost,medium,501.17923,0.09462664,0.00018880799,92.82242,0.18047127,stable
PredictiveCost,small,594.38873,0.096166,0.00016178974,10.793585,0.18150851,stable
CostEfficient,large,478.68356,0.11040888,0.00023065107,123.8199,0.19372422,volatile
CostEfficient,medium,451.1278,0.11043589,0.00024479956,138.9832,0.19102925,volatile
CostEfficient,small,313.6172,0.118766256,0.00037869817,67.78247,0.19577119,volatile
PredictiveCost,large,472.70367,0.082763694,0.00017508579,123.73967,0.17307875,volatile
PredictiveCost,medium,448.01358,0.09462664,0.00021121379,139.37526,0.18047127,volatile
PredictiveCost,small,309.99646,0.096166,0.00031021645,61.448795,0.18150851,volatile
